epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1330.51,1.01866,1.41713,0.59621,1.05958,0.84711,0.89592,0.90929,0.6491,0.85047,0.89947,0.91121,0.63489,1.03424,1.41672,0.5888,1.11876,0.0825263,0.00250629,0.00250629
2,2662.99,1.02588,1.41578,0.60136,1.05804,0.85283,0.88236,0.90575,0.63677,0.85602,0.88417,0.90659,0.62398,1.066,1.44862,0.60467,1.13271,0.06499,0.00496995,0.00496995
3,3986.18,1.03427,1.42696,0.61085,1.06338,0.84891,0.89275,0.91089,0.64411,0.85254,0.8966,0.9134,0.6327,1.05614,1.43484,0.59153,1.12322,0.0474085,0.00738846,0.00738846
4,5303.99,1.04441,1.43518,0.62097,1.0657,0.83959,0.8828,0.90363,0.63137,0.84267,0.88609,0.90389,0.6194,1.07402,1.45761,0.62079,1.14011,0.0297818,0.0097618,0.0097618
5,6623.23,1.07563,1.4653,0.64847,1.08279,0.84146,0.87985,0.90125,0.61868,0.84208,0.88014,0.90089,0.60867,1.10242,1.49459,0.65123,1.15994,0.01211,0.01209,0.01209
6,7940.49,1.10479,1.51359,0.68267,1.09617,0.83702,0.87815,0.898,0.6223,0.84032,0.88148,0.89984,0.61271,1.09153,1.47762,0.63855,1.15002,0.0119795,0.0119795,0.0119795
7,9257.99,1.11031,1.50869,0.68064,1.09808,0.83763,0.88149,0.90344,0.62441,0.84065,0.88398,0.9056,0.61658,1.09456,1.47752,0.63267,1.14984,0.0118666,0.0118666,0.0118666
8,10575.3,1.0992,1.49977,0.67618,1.09016,0.8419,0.88438,0.90295,0.62772,0.8434,0.88524,0.9043,0.61803,1.07574,1.46938,0.62366,1.1433,0.0117537,0.0117537,0.0117537
9,11891.4,1.097,1.49919,0.67514,1.09538,0.8413,0.88532,0.9069,0.63243,0.84423,0.88777,0.90819,0.62446,1.07587,1.46473,0.61467,1.1404,0.0116408,0.0116408,0.0116408
10,13209.9,1.08611,1.4833,0.6635,1.08476,0.84452,0.88926,0.91034,0.63915,0.84321,0.89483,0.91187,0.62862,1.06318,1.44363,0.6089,1.13404,0.0115279,0.0115279,0.0115279
11,14529.3,1.08076,1.47813,0.65499,1.08581,0.8407,0.89194,0.91317,0.64604,0.84335,0.89464,0.91618,0.63538,1.04313,1.42276,0.60516,1.13321,0.011415,0.011415,0.011415
12,15846.4,1.07173,1.46641,0.65063,1.08078,0.85181,0.88818,0.91192,0.64896,0.85468,0.89035,0.9138,0.63738,1.03746,1.42413,0.59909,1.12232,0.0113021,0.0113021,0.0113021
13,17165.2,1.06703,1.45735,0.65065,1.07625,0.85034,0.89804,0.91447,0.65475,0.84993,0.8978,0.91567,0.64133,1.03289,1.41803,0.58689,1.12001,0.0111892,0.0111892,0.0111892
14,18481.9,1.0657,1.45341,0.64318,1.0753,0.85372,0.90102,0.91785,0.65837,0.85414,0.90381,0.91993,0.64558,1.02606,1.405,0.58595,1.11339,0.0110764,0.0110764,0.0110764
15,19799.2,1.05034,1.43953,0.63123,1.07123,0.851,0.8946,0.91806,0.66146,0.84797,0.90228,0.92011,0.65153,1.02027,1.39913,0.57497,1.11186,0.0109635,0.0109635,0.0109635
16,21117.1,1.0478,1.4371,0.6346,1.0693,0.84772,0.90428,0.91907,0.66423,0.85008,0.90683,0.92046,0.65043,1.00799,1.39336,0.57579,1.10613,0.0108506,0.0108506,0.0108506
17,22435.6,1.04074,1.42898,0.62184,1.06488,0.85106,0.90301,0.9204,0.66862,0.85372,0.90636,0.92263,0.65362,1.00122,1.38243,0.5645,1.10517,0.0107377,0.0107377,0.0107377
18,23752.6,1.03578,1.42088,0.61875,1.06253,0.85169,0.90145,0.92082,0.67149,0.85211,0.90462,0.92061,0.65589,0.99779,1.37738,0.56266,1.10235,0.0106248,0.0106248,0.0106248
19,25070.8,1.02823,1.40538,0.61535,1.05788,0.85803,0.90254,0.92217,0.67489,0.85801,0.90617,0.92302,0.66083,0.99123,1.37135,0.55262,1.10154,0.0105119,0.0105119,0.0105119
20,26389,1.01863,1.39991,0.60932,1.05327,0.86344,0.89596,0.9216,0.67779,0.86511,0.89761,0.92357,0.66211,0.98701,1.36786,0.54973,1.09796,0.010399,0.010399,0.010399
